SPI® Total Return;;;;;;;;;;;;;;;;;
ISIN;CH0009987501;;;;CH0011105639;CH0017810976;CH0009987519;CH0009987527;CH0009987535;CH0009987543;CH0000629755;CH0000629821; CH0000629839;CH0000629854;CH0000629870;CH0009111011;CH0033051423
SYMBOL;SXGE;;;;SNSPI;SPIEX;SXBS ;SXRS ;SXBP ;SXPC ;SSCI ;SMCI ;SLCI ;SNCI ;SOCI ;SSIRT;SXSLI
NAME;SPI®;;;;SWX new;SPI Extra ;Bearer;Registred;Bearer &;Particip.;Small;Mid;Large;Small &;Large &;Swiss All;SPI ex SLI (TR)
;Tot Ret;;;;SPI Index;;Shares;Shares;PS;Certificate;Cap;Cap;Cap;Mid Cap;Mid Cap;Shares;
YTD Perf.%;3.01;3.29;3.3;2.82;3.29;7.63;-1.74;3.37;2.94;3.68;10.95;7.32;2.49;7.63;3.18;3.39;7.58
Date;Open;Close;High;Low;Close;Close;Close;Close;Close;Close;Close;Close;Close;Close;Close;Close;Close
03.11.2015;9124.02;9148.43;9149.57;9107.1;1821.36;2961.5;10729.92;11106.49;11106.05;14476.64;19405.21;11326.21;8907.06;12311.84;9131.92;9089.23;2477.74
02.11.2015;9092.95;9145.85;9164.34;9092.95;1820.84;2955.33;10635.7;11117.16;11040.47;14397.14;19370.95;11302.24;8907.63;12286.2;9129.55;9085.49;2472.5
30.10.2015;9172.19;9133.48;9172.19;9108.07;1818.38;2926.19;10615.18;11091.34;11074.33;14451.62;19270.97;11185.26;8910.19;12165.05;9117.74;9073.62;2452.15
29.10.2015;9152.91;9150.81;9158.79;9104.59;1821.83;2928.9;10598.11;11117.88;11070.54;14449.3;19308.96;11194.36;8928.75;12176.29;9135.04;9090.71;2452.66
28.10.2015;9055.5;9126.02;9129.92;9036.62;1816.9;2921.58;10566.44;11085.62;11050.18;14425.09;19254;11166.81;8904.2;12145.87;9110.3;9065.91;2449.95
27.10.2015;9043.24;9044.68;9086.9;9014.29;1800.7;2900.87;10538.61;11003.63;10875.67;14170.26;19236.86;11080.37;8821.74;12059.76;9027.97;8984.61;2439.6
26.10.2015;9106.99;9107.65;9148.42;9091.31;1813.24;2927.38;10801.99;11081.6;10945.27;14222.85;19317.24;11187.45;8879.5;12169.98;9091.23;9046.62;2462.68
23.10.2015;9022.37;9108.52;9133.19;9016.07;1813.41;2924.55;10914.65;11078.22;10966.35;14232.41;19129.72;11186.9;8882.15;12158.23;9093.47;9047.57;2459.52
22.10.2015;8827.92;8985.1;8987.71;8827.69;1788.84;2886.41;10743.14;10929.77;10810.29;14033.01;19039.87;11031.3;8760.94;11999.66;8969.02;8925.06;2427.53
21.10.2015;8848.21;8810.02;8858.75;8784.68;1753.99;2856.85;10549.3;10732.08;10530.56;13653.54;18968.21;10910.84;8574.74;11876.77;8792.08;8750.69;2407.24
20.10.2015;8887.78;8846.16;8906.15;8832.23;1761.18;2846.91;10538.57;10758.83;10651.82;13836.45;19002.83;10866.77;8622.48;11835.45;8828.45;8787.43;2398.2
19.10.2015;8901.52;8890.89;8969.28;8883.56;1770.08;2840.87;10570.53;10799.84;10766.2;14000.81;18961.56;10843.76;8677.94;11810.33;8874.09;8832.36;2396.56
16.10.2015;8836.77;8899.93;8927.5;8836.77;1771.89;2841.69;10648.64;10818.25;10743.59;13951.91;18930.66;10849.1;8687.98;11813.74;8883.49;8840.37;2397.25
15.10.2015;8795.92;8838.66;8843.4;8779.74;1759.69;2826.19;10742.47;10767.21;10563.71;13665.43;18922.32;10784.17;8625.8;11749.31;8821.44;8778.7;2391.04
14.10.2015;8796.97;8766.29;8834.18;8753.02;1745.28;2818.82;10672.58;10675.92;10491.35;13571.11;18913.37;10753.6;8546.02;11718.68;8748.15;8706.14;2385.99
13.10.2015;8883.75;8847.35;8888.26;8805.56;1761.42;2841.36;10711.72;10766.25;10626.29;13764.72;19024.15;10842.04;8627.09;11812.38;8829.51;8787.17;2404.11
12.10.2015;8889.95;8900.98;8912.27;8842.98;1772.09;2860.27;10876.37;10849.36;10609.95;13708.36;19106.4;10916.88;8678.4;11890.98;8883.26;8840.6;2424.74
09.10.2015;8920.47;8877.94;8949.57;8868.73;1767.51;2858.66;10890.73;10829.73;10544.33;13607.72;19043.21;10913.94;8652.58;11884.31;8860.38;8817.41;2421.4
08.10.2015;8862.4;8865.62;8898.05;8825.38;1765.05;2844.38;10793.28;10804.2;10577.13;13675.56;19039.18;10853.87;8646.55;11824.93;8847.91;8805.24;2411.88
07.10.2015;8939.19;8825.63;8943.98;8821.03;1757.09;2824.72;10675.96;10774.42;10443.75;13499.46;19052.04;10770.06;8611.52;11743.17;8807.28;8766.09;2397.66
06.10.2015;8926.96;8942.61;8983.74;8877.11;1780.38;2848.17;10630.13;10879.48;10752.8;13969.24;19078.4;10867.48;8733.78;11840.67;8925.66;8883.42;2414.14
05.10.2015;8806.8;8908.35;8927.68;8805.58;1773.56;2815.42;10451.46;10831.3;10740.99;13986.35;19011.26;10733.3;8713;11704.55;8891.43;8849.94;2389.55
02.10.2015;8731.05;8688.23;8790.79;8598.6;1729.74;2761.88;10179.22;10548.05;10546.24;13748.84;18848.81;10517.1;8488.41;11481.96;8669.49;8631.85;2344.05
01.10.2015;8782.54;8680.07;8808.73;8666.95;1728.11;2754.05;10145.36;10528.14;10581.49;13807.98;18907.94;10480.42;8483.47;11449.39;8660.78;8623.25;2339.91
30.09.2015;8604.44;8679.82;8699.65;8599.77;1728.06;2748.66;10142.3;10528.92;10576.29;13800.82;18723.93;10468.87;8486.3;11427.01;8661.87;8622.83;2340.08
29.09.2015;8459.95;8496.71;8533.23;8431.15;1691.61;2708.4;9944.92;10306.09;10356.37;13511.23;18570.38;10308.18;8296.98;11259.63;8477.38;8441.2;2306.14
28.09.2015;8687.43;8557.95;8706.63;8557.84;1703.8;2731.8;9980.79;10385.84;10406.3;13578.71;18738.4;10396.74;8354.54;11356.88;8538.23;8502.88;2321.13
25.09.2015;8584.88;8681.18;8722.13;8584.88;1728.33;2764.22;10117.62;10572.98;10386.32;13522.33;19021.88;10516.43;8478.86;11491.68;8661.08;8625.48;2347.56
24.09.2015;8631.6;8467.46;8636.49;8451.62;1685.79;2727.86;9909.36;10312.64;10130.82;13181.78;18794.91;10376.68;8251.71;11340.52;8446.09;8413.66;2317.68
23.09.2015;8679.91;8643.09;8728.53;8643.09;1720.75;2788.03;10170.88;10534.32;10305.83;13391.94;19159.62;10608.59;8420.79;11590.65;8621.46;8587.83;2360.99
22.09.2015;8884.51;8667.22;8888.52;8667;1725.55;2788.58;10220.06;10563.08;10337.5;13429.61;19156.41;10611.14;8448.49;11592.97;8645.94;8611.28;2364.28
21.09.2015;8886.72;8959.26;9022.15;8886.72;1783.7;2846.16;10502.81;10915.74;10700.59;13916.11;19444.35;10836.75;8754.31;11832.31;8939.88;8900.34;2406.1
18.09.2015;8955.33;8915.54;8980.82;8859.8;1774.99;2832.59;10493.44;10861.51;10652.68;13846.49;19395.84;10782.41;8711.4;11775.91;8895.91;8857.14;2398.48
17.09.2015;9038.29;9015.11;9044.11;8978.78;1794.82;2854.34;10572.1;10994.34;10719.28;13930.54;19332.86;10878.29;8814.39;11866.34;8997.32;8955.9;2414.18
16.09.2015;9016.56;9031.32;9038.48;8981.74;1798.04;2849.41;10544.07;10996.24;10819.91;14085.77;19300.78;10859.4;8836.05;11845.83;9013.99;8972.36;2407.42
15.09.2015;8889.73;8955.35;8971.06;8852.44;1782.92;2835.98;10417.62;10892.75;10778.93;14049.04;19216.07;10807.84;8755.64;11790.01;8937.59;8897.28;2397.78
14.09.2015;8958.3;8859.56;9013.54;8859.56;1763.85;2823.35;10307.79;10782.19;10636.53;13858.09;19226.56;10753.79;8651.78;11737.51;8840.41;8803.19;2388.68
11.09.2015;8951.93;8940.52;8960.75;8873.59;1779.96;2837.22;10371.2;10879.23;10740.47;14000.68;19242.03;10811.5;8737.71;11795.17;8922.37;8883.25;2396.76
10.09.2015;8979.87;8948.58;9051.2;8934.66;1781.57;2842.53;10472.75;10898.95;10705.05;13928.43;19295.92;10830.63;8744.01;11817.25;8930.14;8891.39;2398.43
09.09.2015;9063.87;9033.84;9117.15;9021.64;1798.55;2853.17;10631.93;10997.87;10829.5;14083.17;19260.72;10877.78;8836.8;11861.46;9016.84;8976.05;2405.81
08.09.2015;8905.22;8928.39;9002.03;8905.22;1777.55;2832.68;10563.29;10859.77;10747.37;13974.06;19140.12;10798.59;8726.26;11776.3;8910.83;8871.3;2390.72
07.09.2015;8875.61;8865.75;8904.62;8829.65;1765.08;2802.35;10401.8;10771.4;10727.43;13975.38;19063.5;10675.05;8671.06;11650.21;8847.88;8808.95;2365.08
04.09.2015;8871.65;8819.21;8878.82;8784.17;1755.81;2800.58;10369.59;10710.41;10691.35;13927.85;19086.06;10666.16;8618.09;11642.84;8800.54;8762.79;2363.06
03.09.2015;8885.04;8937.4;8968.37;8862.3;1779.34;2825.41;10483.02;10862.68;10794.78;14060.07;19064.36;10772.47;8740.89;11746.06;8920.5;8879.95;2381.71
02.09.2015;8844.2;8792.36;8873.19;8757.39;1750.47;2791.47;10313.04;10689.25;10606.64;13812.58;18979.75;10634.19;8592.19;11604.97;8774.1;8735.31;2354.12
01.09.2015;8905.15;8786.39;8908.33;8739.92;1749.28;2788.22;10292.87;10680.03;10608.43;13819.12;19037.54;10616.87;8587.14;11591.44;8767.62;8728.84;2356.55
31.08.2015;8922.07;8984.61;8984.61;8891.45;1788.74;2835.89;10432.38;10919.55;10854.15;14158.2;19192.13;10808.91;8789.63;11789.62;8967.42;8925.7;2395.71
28.08.2015;9004.19;8943.21;9006.74;8848.9;1780.5;2820.75;10429.22;10864.72;10824.71;14114.97;19174.38;10745.99;8750.32;11726.68;8925.59;8884.95;2384.99
27.08.2015;8913.22;8972.88;8984.71;8890.09;1786.41;2833;10398.54;10880.49;10952.92;14311.77;19248.19;10793.24;8777.69;11777.6;8955.13;8914.86;2393.63
26.08.2015;8789.2;8719.96;8889.16;8701.15;1736.05;2779.83;10221.6;10587.25;10582.96;13794.88;19041.61;10581.17;8514.9;11556.58;8700.25;8663.06;2351.1
25.08.2015;8710.57;8914.67;8960.22;8703.31;1774.82;2808.77;10366.24;10831.43;10783.88;14066.27;19118.9;10698.76;8724.11;11676.88;8897.06;8855.83;2369.46
24.08.2015;8666.69;8622.81;8780.94;8361.61;1716.71;2722.25;10046.05;10472.56;10450.2;13630.91;18797.65;10352.73;8435.36;11317.2;8603.55;8565.37;2299.51
21.08.2015;9106.12;8953.4;9176.56;8953.4;1782.53;2817.99;10291.81;10900.86;10728.89;13998.68;19304.77;10726.29;8763.74;11715.2;8934.97;8893.48;2377.7
20.08.2015;9363.51;9244.65;9371.54;9235.29;1840.52;2875.91;10511.67;11255.87;11076.03;14473.34;19521.28;10957.87;9068.25;11956.01;9228.63;9182.91;2422.07
19.08.2015;9477.99;9391.63;9491.02;9390.61;1869.78;2917.95;10616.81;11444.75;11206.94;14648.07;19606.25;11130.37;9214.55;12130.77;9377.01;9329.24;2454.64
18.08.2015;9523.52;9520.2;9547;9503.01;1895.37;2948.63;10822.3;11600.77;11363.32;14841.46;19675.8;11255.82;9346.02;12258.34;9506.83;9456.73;2476.92
17.08.2015;9531.64;9527.34;9551.4;9472;1896.79;2951.15;10916.11;11604.3;11395.39;14871.2;19727.57;11263.27;9352.85;12268.79;9513.69;9464.14;2480.8
14.08.2015;9471.81;9485.21;9518.9;9461.22;1888.41;2942.22;10912.24;11555.83;11332.05;14777.62;19622.73;11231.96;9309.13;12231.66;9471.75;9421.79;2474.23
13.08.2015;9457.47;9462.15;9522.12;9446.62;1883.82;2932.7;10977.74;11521.83;11331.43;14764.13;19621.28;11191.82;9287.86;12192.1;9448.39;9399.32;2467.31
12.08.2015;9490.43;9330.17;9490.43;9291.61;1857.54;2911.26;10891.9;11370.15;11132.3;14484.11;19519.76;11107.42;9147.1;12102.97;9315.34;9267.94;2448.88
11.08.2015;9614.16;9564.05;9632.65;9551.93;1904.1;2966.39;11193.59;11649.64;11436.45;14879.05;19736.7;11327.14;9386.67;12332.14;9550.83;9500.96;2497.17
10.08.2015;9567.1;9641.33;9647.06;9516.41;1919.49;2972.68;11483.43;11740.71;11542.75;14981.68;19750.64;11352.88;9472.69;12358.3;9629.07;9577.28;2506.66
07.08.2015;9577.46;9545.16;9586.27;9538.84;1900.34;2956.24;11434.52;11626.47;11414.6;14800.25;19650.96;11289.53;9370.59;12289.97;9532.31;9481.42;2492.38
06.08.2015;9639.08;9597.01;9653.32;9595.21;1910.67;2974.7;11558.2;11676.95;11534.29;14954.72;19648.15;11367.72;9420.11;12366.69;9584.9;9533.96;2502.61
05.08.2015;9628.59;9665.61;9670.59;9611.84;1924.32;2993.91;11640.26;11763.75;11601.61;15039.2;19668.05;11447.74;9488.63;12446.58;9654.3;9602.13;2521.91
04.08.2015;9596.98;9615.44;9626.5;9574.44;1914.33;2973.41;11487.42;11701.98;11544.59;14983.64;19744.09;11356.36;9442.24;12361.33;9602.88;9552.32;2510.77
03.08.2015;9571.92;9601.14;9625.93;9571.92;1911.49;2964.03;11355.52;11688.44;11509.83;14957.22;19629.32;11323.79;9431.05;12322.36;9589.22;9538.24;2504.25
31.07.2015;9533.03;9559.21;9559.21;9501.67;1903.14;2950.13;11434.59;11628.08;11501.97;14930.33;19640.74;11264.32;9390.41;12264.57;9546.63;9496.31;2491.93
30.07.2015;9532.72;9525.93;9565.06;9480.76;1896.51;2935.8;11343.16;11585.48;11471.57;14902.63;19549.54;11209.35;9360.06;12205;9513.56;9463.5;2483.2
29.07.2015;9441.1;9513.07;9513.07;9432.25;1893.95;2926.72;11243.28;11563.14;11486.6;14944.17;19536.33;11171.76;9350.38;12167.23;9500.63;9450.67;2478.9
28.07.2015;9347.86;9406.56;9406.56;9325.38;1872.75;2906.3;11135.49;11431.42;11368.23;14788.62;19536.36;11085.41;9238.57;12082.33;9392.65;9344.98;2464.69
27.07.2015;9449.83;9325.6;9449.83;9305.05;1856.63;2883.71;11150.83;11332.3;11273.73;14644.97;19477.43;10993.52;9157.66;11988.41;9311.01;9263.89;2452.05
24.07.2015;9508.99;9443.12;9535.74;9434.89;1880.03;2903.84;11268.97;11477.22;11406.19;14819.51;19556.35;11073.77;9282.4;12072.1;9429.56;9381.09;2466.17
23.07.2015;9481.18;9502.53;9527.54;9463.74;1891.86;2922.2;11350.95;11545.73;11494.79;14935.7;19573.87;11150.33;9340.75;12148.44;9489.66;9440.19;2476.18
22.07.2015;9468.81;9416.38;9476.5;9398.09;1874.7;2908.26;11241.57;11453.5;11333.96;14717.23;19481.86;11097.05;9248.84;12090.48;9403.01;9354.2;2462.35
21.07.2015;9584.89;9505.24;9584.94;9486.72;1892.4;2920.95;11363.81;11556.78;11462.77;14885.55;19538.94;11147.19;9344.62;12143.24;9492.67;9441.96;2474.59
20.07.2015;9578.49;9593.74;9628.76;9563.72;1910.01;2931.22;11445.01;11663.49;11573.5;15034.83;19563.2;11189.13;9441.36;12185.95;9582.2;9529.86;2483.11
17.07.2015;9539.72;9558.38;9560.44;9529.22;1902.98;2923.02;11444.81;11624.85;11511.12;14941.99;19479.43;11159.63;9405.07;12151.87;9546.98;9494.07;2472.03
16.07.2015;9441.57;9566.73;9566.73;9441.57;1904.64;2917.73;11362.49;11617.77;11599.66;15089.63;19445.91;11139.31;9417.8;12129.86;9555.69;9502.73;2470.5
15.07.2015;9411.97;9429.75;9454.63;9399.5;1877.37;2883.35;11117.77;11457.68;11405.1;14846.93;19355.21;10999.54;9278.7;11986.94;9417.49;9366.9;2436.9
14.07.2015;9384.87;9423.71;9431.23;9348.17;1876.16;2885.27;11089.37;11445.58;11419.2;14873.38;19345.19;11008.26;9270.56;11994.9;9411.43;9359.18;2435.8
13.07.2015;9310.03;9364.16;9373.92;9305.39;1864.31;2870.7;11048.8;11359.81;11407.69;14864.03;19316.76;10948.41;9209.85;11934.34;9351.27;9301.62;2427.23
10.07.2015;9214.41;9249.63;9254.87;9166.34;1841.51;2840.35;10921.6;11223.77;11255.07;14661.21;19163.62;10829.53;9094.44;11808.17;9236.28;9187.6;2398.16
09.07.2015;8963.44;9103.03;9120.32;8963.44;1812.32;2802.81;10729.65;11043.87;11085.77;14446;19030.25;10678.94;8945.99;11652.09;9088.64;9041.68;2366.55
08.07.2015;8966.29;8971.81;8990.12;8930.94;1786.19;2767.8;10531.6;10893.96;10884.14;14183.8;18990.59;10533.31;8813.91;11506.57;8955.89;8911.1;2341.52
07.07.2015;9012.28;8893.3;9014.25;8893.3;1770.56;2762.29;10525.05;10812.94;10724.42;13947.24;19090.02;10503.81;8725.98;11483.64;8875.56;8833.36;2341.91
06.07.2015;8940.46;8992.71;9024.18;8940.46;1790.36;2791.94;10706.14;10915.25;10927.88;14215.41;19242.88;10619.82;8824.22;11606.94;8975.22;8932.21;2366.13
03.07.2015;9088.98;9047.09;9088.98;9002.22;1801.18;2814.94;10794.28;10994.66;10933.6;14207;19347.07;10710.67;8874.06;11702.55;9029.59;8985.81;2389.08
02.07.2015;9076.16;9092.07;9134.58;9076.16;1810.14;2821.46;10806.57;11052.09;10975.49;14267;19315.4;10740.22;8922.49;11729.65;9075.42;9030.6;2389.32
01.07.2015;8944.23;9043.87;9090.74;8937.42;1800.54;2815.1;10707.07;10984.64;10957.25;14258.97;19476.57;10703.3;8870.23;11703.2;9025.36;8983.31;2386.04
30.06.2015;8964.97;8918.62;9025.71;8908.77;1775.6;2784.21;10573.63;10836.23;10788.69;14033.61;19488.29;10571.97;8742.7;11574.79;8898.29;8859.06;2362.16
29.06.2015;8880.68;8999.97;9069.02;8880.68;1791.8;2796.87;10716.18;10940.38;10863.2;14117.17;19299.86;10637.11;8829.8;11627.42;8982.15;8938.68;2369.74
26.06.2015;9139.4;9137.05;9169.63;9068.67;1819.09;2832.52;10841.56;11100.45;11058.25;14383.53;19469.42;10777.4;8968.31;11775.62;9119.88;9075.22;2400.69
25.06.2015;9179.26;9173.57;9237.7;9147.89;1826.36;2840.7;10872.71;11144.35;11104.54;14446.46;19566.03;10806.04;9005.96;11809.63;9156.19;9111.82;2404.57
24.06.2015;9281.77;9211.69;9291.3;9191.92;1833.95;2854.39;10861.53;11194.43;11133.7;14492.04;19594.51;10862.18;9042.3;11866.56;9194.63;9149.55;2418.62
23.06.2015;9196.22;9264.22;9295.12;9196.22;1844.41;2864.22;10828.33;11259.4;11192.06;14585.32;19591.74;10903.87;9097.58;11907.41;9247.89;9200.99;2426.7
22.06.2015;9103.9;9156.52;9167.5;9089.94;1822.97;2847.73;10698.08;11127.29;11067.43;14424.78;19537.92;10837.49;8982.12;11838.85;9139.11;9094.38;2413.19
19.06.2015;9048.38;9012.87;9109.2;9012.87;1794.37;2824.67;10558.56;10957.1;10874.08;14163.66;19521.37;10741.06;8828.74;11742.98;8993.62;8951.8;2396.61
18.06.2015;9016.01;9020.48;9020.5;8888.95;1795.89;2817.63;10568.04;10968.65;10872.9;14160.08;19365.81;10720.72;8841.65;11713.7;9002.46;8959.89;2392.87
17.06.2015;9104.44;9048.2;9127.88;9029.06;1801.4;2827.82;10599.31;11009.1;10875.82;14158.43;19441.67;10759.14;8867.94;11756.06;9030.01;8986.5;2404.62
16.06.2015;9045.08;9107.6;9138.86;9040.98;1813.23;2845.97;10674.33;11080.51;10951.1;14256.1;19448.09;10835.32;8926.39;11831.52;9090.16;9045.8;2417.42
15.06.2015;9125.51;9066.71;9142.08;9063.91;1805.09;2834.01;10591.67;11039.2;10863.72;14141.87;19480.56;10782.91;8885.84;11781.8;9048.48;9005.36;2410.58
12.06.2015;9264.77;9173.94;9281.44;9159.8;1826.44;2874.04;10701.9;11155.99;11054.52;14404.81;19673.57;10940.19;8987.16;11948.24;9155.77;9112.69;2442.12
11.06.2015;9267.08;9286.93;9325.39;9257.96;1848.93;2894.49;10722.6;11275.63;11271.03;14723.26;19743.59;11022.23;9106.5;12033.24;9269.78;9225.17;2459.84
10.06.2015;9124;9249.42;9273.3;9117.11;1841.47;2894.25;10757.29;11236.74;11195.43;14604.01;19739.1;11021.48;9063.1;12032.24;9231.79;9187.35;2461.18
09.06.2015;9169.76;9138.06;9188.66;9104.87;1819.29;2881.59;10913.94;11111.52;11015.11;14305.34;19678.3;10971.73;8941.14;11979.6;9119.37;9076.58;2453.96
08.06.2015;9234.48;9211.23;9261.37;9210.61;1833.86;2890.25;10951.19;11194.73;11129.34;14468.3;19744.46;11004.31;9021.07;12015.63;9193.05;9150.02;2463.38
05.06.2015;9325.14;9253.39;9325.83;9234.62;1842.25;2898.22;11023.53;11244.38;11187.47;14540.96;19854.88;11031.27;9065.4;12048.75;9234.98;9191.19;2465.74
04.06.2015;9365.97;9379.78;9423.3;9281.66;1867.42;2930.47;11100.05;11399.66;11332.63;14742.42;19990.92;11159.15;9193.48;12182.84;9362.1;9316.88;2493.12
03.06.2015;9362.59;9398.95;9432.68;9355.52;1871.23;2935.12;11136.01;11416.62;11384.43;14812.65;20006.05;11177.84;9213.04;12202.16;9381.41;9335.71;2495.66
02.06.2015;9408.48;9345.84;9421.49;9332.04;1860.66;2913.23;11004.52;11353.09;11315.67;14735.53;19929.48;11090.1;9164.04;12111.15;9328.14;9283.39;2471.97
01.06.2015;9436.83;9409.17;9455.79;9409.17;1873.27;2931.28;11001.23;11414.26;11463.65;14956.53;19933.93;11165.96;9227.12;12186.18;9392.29;9346.03;2474.58
29.05.2015;9532.09;9377.54;9532.09;9377.54;1866.97;2922.15;11001.63;11393.65;11344.78;14779.44;19930.85;11127.63;9195.69;12148.22;9360.26;9314.09;2465.76
28.05.2015;9530.43;9523.78;9553.55;9505.52;1896.09;2946.4;11099.02;11559.83;11573.71;15101.83;20001.44;11225.68;9351.44;12249.04;9507.96;9459.28;2482.23
27.05.2015;9432.05;9524.33;9531.46;9432.05;1896.2;2944.08;11073.13;11575.01;11508.76;15010.02;19946.53;11219.23;9353.41;12239.41;9508.91;9459.8;2478.21
26.05.2015;9486.23;9410.3;9504.49;9389.81;1873.49;2928.57;11119.12;11438.29;11362.56;14783.17;19877.31;11157.97;9230;12174.95;9393.84;9346.53;2466.97
22.05.2015;9484.61;9491.66;9518.78;9467.82;1889.69;2953.11;11225.68;11542.74;11435.68;14871.52;19944.48;11257.45;9310.25;12276.96;9475.82;9427.21;2488.16
21.05.2015;9468.88;9503.14;9508.26;9439.18;1891.98;2955.41;11324.94;11546.04;11497.63;14944.63;19934.61;11267.75;9322.24;12286.52;9487.52;9438.56;2493.33
20.05.2015;9449.05;9463.17;9475.84;9426.22;1884.02;2953.38;11268.94;11499.83;11438.57;14867.44;19823.13;11265.91;9277.01;12278.08;9447.81;9399.04;2494.47
19.05.2015;9379.3;9444.96;9452.15;9379.3;1880.4;2958.63;11259.72;11467.54;11462.5;14904.9;19796.17;11289.69;9252.84;12299.91;9429.56;9380.21;2501.88
18.05.2015;9294.68;9350.06;9350.06;9274.02;1861.5;2938.65;11209.72;11338.74;11408.66;14834.33;19823.66;11203.72;9154.23;12216.84;9333.18;9285.29;2488.61
15.05.2015;9284.94;9270.81;9339.26;9260.28;1845.72;2928.69;10992.27;11253.47;11262.97;14659.31;19806.92;11162.72;9067.99;12175.45;9252.98;9207.12;2483.01
13.05.2015;9231.33;9208.02;9245.04;9194.1;1833.22;2904.68;10944.53;11197.65;11094.55;14417.48;19689.71;11068.45;9009;12075.6;9190.19;9143.91;2464.81
12.05.2015;9227.37;9201.15;9227.37;9151.55;1831.85;2900.65;10948.67;11216.91;10961.48;14218.28;19723.75;11049.39;9003.35;12058.84;9182.98;9136.65;2459.69
11.05.2015;9267.61;9275.59;9294.28;9220.25;1846.67;2927.65;11015.2;11309.98;11039.67;14321.94;19773.51;11160.33;9074.15;12171.11;9258.07;9210.53;2480.39
08.05.2015;9132.09;9234.4;9250.73;9098.06;1838.47;2911.2;11074.72;11255.26;11010.99;14267.64;19710.29;11094.78;9035.85;12102.73;9216.78;9169.71;2471.07
07.05.2015;8990.9;9031.03;9049.82;8892.24;1797.99;2880.68;10959.83;11006.31;10773.32;13935.57;19577.07;10974.09;8817.46;11975.84;9011.65;8967.72;2448.09
06.05.2015;9147.72;9046.05;9149.85;9019.26;1800.98;2884.42;11188.33;11000.12;10902.15;14083.27;19526.05;10992.86;8832.73;11991.38;9027.24;8982.5;2449.87
05.05.2015;9255.48;9175.69;9344.42;9175.68;1826.79;2911.9;11361.24;11151.91;11084.88;14322.16;19604.2;11104.01;8967.33;12105.63;9158.04;9111.55;2469.51
04.05.2015;9252.12;9238.02;9276.65;9227.51;1839.19;2932.38;11453.87;11226.61;11164.89;14423.47;19743.37;11182.05;9027.83;12190.79;9220.21;9173.43;2490.06
30.04.2015;9194.88;9208.19;9225.13;9156.61;1833.26;2919.79;11399.16;11182.16;11166.07;14435.9;19621.23;11136.22;9000.5;12138.42;9190.86;9143.06;2476.14
29.04.2015;9397.82;9218.81;9398.23;9218.81;1835.37;2907.77;11461.46;11204.29;11137.04;14380.45;19558.01;11089.34;9019.79;12088.45;9202.07;9153.65;2464.81
28.04.2015;9406.22;9359.5;9407.34;9298.61;1863.38;2930.43;11494.77;11373.38;11315.64;14640.39;19572.88;11183.9;9170.02;12182.64;9344.52;9292.8;2479.05
27.04.2015;9422.92;9445.78;9445.79;9336.79;1880.56;2950.56;11431.16;11461.54;11495.73;14921.46;19656.8;11263.75;9258.52;12266.36;9431.34;9380.28;2493.47
24.04.2015;9463.64;9402.78;9482.06;9374.63;1872;2944.83;11371.65;11416.24;11412.22;14808.44;19622.05;11241.66;9211.91;12242.53;9388.02;9337.75;2488.7
23.04.2015;9497.67;9433.35;9504.58;9406.75;1878.08;2944.36;11375.42;11444.98;11487.22;14919.93;19557.24;11243.54;9247.69;12240.59;9419.45;9367.84;2485.96
22.04.2015;9420.6;9437.72;9442.62;9349.39;1878.95;2939.89;11416.21;11450.59;11491.16;14917.68;19536;11225.94;9255.37;12221.98;9424.04;9371.99;2482.54
21.04.2015;9406.96;9390.52;9445.93;9390.52;1869.56;2945.43;11488.45;11415.57;11332.81;14666.23;19466.21;11253.44;9197.35;12245.04;9376.71;9325.01;2486.31
20.04.2015;9346.35;9336.36;9355.41;9324.15;1858.77;2931.99;11475.25;11341.8;11303.38;14624.82;19460.47;11197.17;9142.24;12189.17;9321.86;9270.87;2474.01
17.04.2015;9440.1;9279.64;9449.59;9277.97;1847.48;2914.84;11467.89;11280.07;11202.13;14474.76;19365.18;11130.54;9086.32;12117.84;9265.07;9214.39;2462.67
